model,o,d,trip_count,touched_seeds,web_edges_unique,web_edges_attempted,nloc,mloc,avg_outdeg,max_outdeg,frac_outdeg1,undirected_bridges,undirected_articulations,dom_nodes_on_all_paths,dom_edges_on_all_paths,min_edge_cut,layer_width_entropy
twotree,41784756,41289070#0,1567,136,36,36,331,338,1.0211480362537764,2,0.972809667673716,38,38,38,39,-1,2.420716069411266
twotree,41289070#0,41784756,1381,16,0,0,75,76,1.0133333333333334,2,0.96,9,9,9,10,-1,2.318693962905907
twotree,-14424417,171273473,1348,36,0,0,114,116,1.0175438596491229,2,0.9649122807017544,34,34,34,35,-1,2.2765248421576847
twotree,14403170#1,14425758#1,1199,16,0,0,127,130,1.0236220472440944,2,0.9606299212598425,5,5,5,6,-1,2.0137309013837195
twotree,41289070#0,119392511,1168,71,11,11,341,352,1.032258064516129,2,0.9618768328445748,69,69,69,70,-1,2.452699346047956
twotree,119392511,41289070#0,1138,9,0,0,92,94,1.0217391304347827,2,0.9565217391304348,3,3,3,4,-1,2.437517530593207
twotree,171273473,-14424417,1103,21,0,0,79,80,1.0126582278481013,2,0.9620253164556962,23,23,23,24,-1,2.381595182977109
twotree,41784756,14407516#0,925,8,0,0,24,23,0.9583333333333334,1,0.9583333333333334,23,22,22,23,-1,2.1855673437540353
twotree,43833216#1,-14424417,889,99,76,76,422,440,1.042654028436019,2,0.95260663507109,16,16,16,17,-1,2.517344878787917
twotree,41784756,1370892719#1,815,66,19,19,267,280,1.048689138576779,2,0.9438202247191011,17,17,17,18,-1,2.5221492315541965
twotree,41784756,1118581567,777,68,0,0,108,109,1.0092592592592593,2,0.9722222222222222,31,31,31,32,-1,2.484283965071393
twotree,119392524,548480861,767,0,0,0,5,4,0.8,1,0.8,4,3,3,4,-1,1.6094379124341005
twotree,119392524,548480856#1,759,63,27,27,163,178,1.0920245398773005,3,0.901840490797546,12,12,12,13,-1,2.542788049250692
twotree,14425758#1,14403170#1,752,34,66,66,175,183,1.0457142857142858,3,0.9542857142857143,1,1,1,2,-1,2.1799118941156896
twotree,41784756,1370892719#7,750,49,4,4,199,207,1.0402010050251256,2,0.949748743718593,7,7,7,8,-1,2.664938008046061
twotree,41784756,1185482966,745,62,0,0,106,111,1.0471698113207548,2,0.9339622641509434,24,24,24,25,-1,2.5825087247431058
twotree,14407516#0,41784756,714,53,6,6,148,151,1.0202702702702702,2,0.9662162162162162,21,21,21,22,-1,2.6127094181156427
twotree,551708756,-14424417,699,54,0,0,87,88,1.0114942528735633,2,0.9655172413793104,38,38,38,39,-1,2.562230008343529
twotree,-104750111#1,-14409833#9,674,28,6,6,88,90,1.0227272727272727,2,0.9545454545454546,25,25,25,26,-1,2.4190873957120265
twotree,14406517,344579191#1,652,46,23,23,238,254,1.0672268907563025,3,0.9369747899159664,34,34,34,35,-1,2.2285901911768446
twotree,548480856#1,119392524,650,76,24,24,204,214,1.0490196078431373,3,0.946078431372549,22,22,22,23,-1,2.414122697409013
twotree,548478181,14407414#0,642,22,0,0,89,91,1.0224719101123596,2,0.9550561797752809,53,53,53,54,-1,2.633975907667428
twotree,14417021#1,-14424417,625,57,6,6,219,225,1.0273972602739727,2,0.9634703196347032,12,12,12,13,-1,2.6404910746600008
twotree,173837148#5,41784756,601,18,0,0,95,96,1.0105263157894737,2,0.968421052631579,45,45,45,46,-1,2.40000062783606
twotree,161676198,119392511,598,3,0,0,14,14,1.0,2,0.8571428571428571,1,1,1,2,-1,1.90853528164356
twotree,179389127#3,43833216#1,591,76,45,45,291,307,1.0549828178694158,2,0.9381443298969072,11,11,11,12,-1,2.6847277798538443
twotree,119392511,1118011300,573,43,16,16,320,330,1.03125,2,0.9625,9,9,9,10,-1,2.5065375575019275
twotree,48360496,-14411896#2,567,89,61,61,232,253,1.0905172413793103,4,0.9224137931034483,2,2,2,3,-1,2.2956692861864956
twotree,-218748764#3,14403170#1,553,15,14,14,160,166,1.0375,2,0.95,0,0,0,1,-1,2.404184953523111
twotree,41784756,173837148#5,548,89,45,45,361,376,1.0415512465373962,2,0.9529085872576177,38,38,38,39,-1,2.513265905701668
twotree,-14411896#2,48360496,545,150,145,145,365,396,1.084931506849315,3,0.9287671232876712,2,2,2,3,-1,2.4416267302730263
twotree,171140080#1,1370892719#1,542,4,0,0,5,4,0.8,1,0.8,4,3,3,4,-1,0.5004024235381879
twotree,1370892719#1,171140080#1,541,25,0,0,22,21,0.9545454545454546,1,0.9545454545454546,21,20,20,21,-1,1.7832068392707292
